movie_name,year,genre,description
Reclaim,2014,"Action, Crime, Drama","A desperate American couple discovers all is not what it seems when they uncover a high-stakes underground scam while traveling abroad. To expose the truth and get back to the U.S., they must risk their lives to save their daughter."
Christmas Mail,2010,"Comedy, Drama, Family","In this holiday romantic comedy, a mysterious woman who works at the post office answering Santa's mail captures the heart of a disillusioned postal carrier"
Light Speed,1998,"Horror, Sci-Fi",A space freighter that has gone adrift suddenly catapults into an alternate universe.
Willie-Willie,2021,Horror,"The tables turn when a dead child who was always bullied by his big brothers, supernaturally gets another opportunity to walk the earth as an avenging spirit and pays back a favor."
The Brides of Dracula,1960,Horror,"Vampire hunter Van Helsing returns to Transylvania to destroy handsome bloodsucker Baron Meinster, who has designs on beautiful young schoolteacher Marianne."
Los chicos con las chicas,1967,"Comedy, Musical, Romance","Mike and his friends make plans for a mountain vacation. Near where they're camping is a girls' school where men are strictly forbidden. But when Mike falls in love with a student, he manages to get into school as a music teacher."
Tony Martone,2022,Crime,"Tony ""Untouchable"" Martone leads the mafia in East Providence, RI until a rival family (Amato) attempts to take control of their territory."
Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
Sergeant York,1941,"Biography, Drama, History","A Tennessee farmer and marksman is drafted in World War I, and struggles with his pacifist inclinations before becoming one of the most celebrated war heroes."
Without A Trace,1976,"Crime, Drama",Nader has lost his memory in an accident. He manages to escape from hospital and finds Sepideh and falls in love. He later gets back his memory and returns to his home but there remembers Sepideh and returns to her to live together.
The Sound Barrier,1952,"Adventure, Drama, Romance",Fictionalized story of British aerospace engineers solving the problem of supersonic flight.
Magkaribal,1979,"Drama, Romance","TWO WOMAN, FORMERLY THE BEST FOR BEAT OF FRIENDS, BECOMES THE WORST OF ENEMIES WHEN THEY FALL FOR THE SAME MAN -. ADULT ONLY"
Disi düsman,1966,"Adventure, Drama",Heroic tale of a swashbuckler and his patriotic comrades who defend their nation against enemies both external and internal.
A Low Down Dirty Shame,1994,"Action, Comedy, Crime","An ex-cop, now a private detective, takes on the search for the millions stolen by a drug lord."
Incubus,2006,"Horror, Mystery, Thriller","Stranded after a car accident, a medical school student and her friends try to find shelter - only to cross paths with a deranged killer."
The SpongeBob Movie: Sponge on the Run,2020,"Animation, Adventure, Comedy","After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home."
Kingshighway,2010,Crime,"A young man visits a bar and falls for the waitress whose family turns out to be tied to Italian mob. The head henchman doesn't like him, so things heat up, even though the don likes him. Then stolen diamonds enter the picture."
Healing Land,2020,"Drama, Thriller",A black preacher awakens to black consciousness theology and embarks on a revolution to preach a gospel that appeals to the black struggle in Africa.
19,2000,"Comedy, Crime, Drama",Stylish road movie in which a kidnapped youth becomes friends with his abductors.
The Boondock Saints,1999,"Action, Thriller",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
Fear Clinic,2014,Horror,"A doctor works to cure patients suffering from crippling phobias by placing them inside his invention, which induces and controls hallucinations."
The Poorhouse Revisited,2011,"Fantasy, Horror, Mystery","In the time of Ireland's Great Famine, an elderly gravedigger revisits a traumatic event through the decaying visions of his fragmented dreams."
The Ward,2010,"Horror, Mystery, Thriller",An institutionalized young woman becomes terrorized by a ghost.
Aniara,2018,"Drama, Sci-Fi","A spaceship carrying settlers to Mars is knocked off course, causing the consumption-obsessed passengers to consider their place in the universe."
The Last Women of the Philippines,1986,"Action, Adventure",Two young sisters are shipwrecked on a deserted island with their teacher Ms. Muro.
The Cokeville Miracle,2015,"Drama, Family, History","Children who were held hostage in their elementary school tell stories of miraculous things, but many adults are skeptical that the Cokeville Miracle ever truly happened."
Zura Deka,2006,"Action, Comedy",Genda is a street cop with a secret weapon: his toupée.
Take the Money and Run,1969,"Comedy, Crime","The life and times of Virgil Starkwell, inept bank robber."
Thikka,2016,"Action, Comedy","A freaky incident during a man's breakup party leads to an ultimate change in his life as uncalled situations pop up, eventually leading to a lot of frenzy."
The Horsemen,2016,"Drama, Thriller, War","When journalist Jack Carter is held prisoner by an oppressive government years after a divisive election, he recounts democracy's swan song to a young soldier."
The 6th Kiss,2018,"Comedy, Romance",A boy gets in trouble at school after going to extremes to stop a kiss from happening. Now he has to convince his principal of the 6th kiss theory while trying to plan out his own 6th kiss.
Drunken Angel,1948,"Crime, Drama, Romance",A drunken doctor with a hot temper and a violence-prone gangster with tuberculosis form a quicksilver bond.
Kilties Three,1918,"Drama, War",In Edinburgh a foundry owner weds a German spy's widow who becomes a nurse.
Before the Deluge,1954,"Crime, Drama",Self-centered parents of the 50's targeted by drama in which teenagers panicking after burglary supposed to finance the run from the Third World War.
Mercy's Girl,2018,"Drama, Romance","A closeted gay woman, Mercy (Emily Lape), meets an attractive, sexual and loving college student named Jesse (Alison Hixon) that challenges her to explore her own beliefs on sexuality and religion."
The Vanishing Field,2020,"Drama, Mystery","Disenchanted with the corruption of society, Jacob joins a monastery where his meditation practice ignites a spontaneous out-of-body experience."
Miss Forever,2019,"Drama, Romance",A touching coming-of-age story that follows an engineering boy who falls in love with a girl. To have had you once in my life is already enough.
The Protector,2019,"Comedy, Romance","Based on the novel by best selling author, Jodi Ellen Malpas."
Carolina's Calling,2021,"Adventure, Comedy, Sci-Fi","When Martin a brilliant but failing engineer creates an infinite power source that causes an oddball space alien to crash land on Earth, the two form a comedic alliance in their quest to get Bob home."
My Blind Brother,2016,"Comedy, Drama, Romance",The rivalry between two brothers reaches a fever pitch during a charity swim competition.
Zaldong Batangueno,1963,"Action, Comedy",Exploding Action. Spilling Laughter.
Steve Jobs,2015,"Biography, Drama","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
The Haunting of M.R. James,2018,Horror,Five of the most tales by the master of the ghost story M.R. James dramatized for BBC Radio 4.
I Went To,2000,"Action, Crime",New magistrate cleans up a corrupt town in his own comic Samurai way.
Razorback,1984,"Horror, Thriller","As a vicious wild boar terrorizes the Australian outback, the husband of one of the victims is joined by a hunter and a farmer in a search for the beast."
The Torture Chamber of Dr. Sadism,1967,"Horror, Mystery","A Count executed for murdering twelve virgins in a bid for immortality returns to life, seeking revenge on the daughter of his intended thirteenth victim and the son of his prosecutor."
